Unit,Parameter,Time,Value,Scenario
El_PV,fix_units_on,2019-01-16T18:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T19:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T20:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T21:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T22:00:00,0.0,Base
El_PV,fix_units_on,2019-01-16T23:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T00:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T01:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T02:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T03:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T04:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T05:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T06:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T07:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T08:00:00,0.007,Base
El_PV,fix_units_on,2019-01-17T09:00:00,0.028,Base
El_PV,fix_units_on,2019-01-17T10:00:00,0.051,Base
El_PV,fix_units_on,2019-01-17T11:00:00,0.055,Base
El_PV,fix_units_on,2019-01-17T12:00:00,0.037,Base
El_PV,fix_units_on,2019-01-17T13:00:00,0.018,Base
El_PV,fix_units_on,2019-01-17T14:00:00,0.003,Base
El_PV,fix_units_on,2019-01-17T15:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T16:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T17:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T18:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T19:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T20:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T21:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T22:00:00,0.0,Base
El_PV,fix_units_on,2019-01-17T23:00:00,0.0,Base
El_PV,fix_units_on,2019-01-18T00:00:00,0.0,Base
El_PV,fix_units_on,2019-01-18T01:00:00,0.0,Base
El_PV,fix_units_on,2019-01-18T02:00:00,0.0,Base
El_PV,fix_units_on,2019-01-18T03:00:00,0.0,Base
El_PV,fix_units_on,2019-01-18T04:00:00,0.0,Base
El_PV,fix_units_on,2019-01-18T05:00:00,0.0,Base
El_PV,fix_units_on,2019-01-18T06:00:00,0.0,Base
